,District,Year,Sheeps,Chickens,Assins,Cows,Goats
1,DAKAR,2017,2588.88,,,,
2,DAKAR,2018,3556.19443893433,,,,
3,DAKAR,2020,301655.411327362,1385058.44114304,,,
4,DIOURBEL,2017,143135.713753133,123023.601576859,19394.0854949875,54309.8275793651,107722.241917293
5,DIOURBEL,2018,310777.251739502,205228.680213928,26757.4945755005,169679.870376587,158660.805953979
6,DIOURBEL,2020,718312.958101273,531447.949703217,66813.3922737837,178639.155867219,431110.610055804
7,FATICK,2017,49896.5463514902,188336.236097715,19163.2755474741,44180.1003557593,143285.115297652
8,FATICK,2018,47829.0813903809,326851.623687744,37935.5877876282,69319.7839622498,143973.463665009
9,FATICK,2020,199611.916805983,497151.028327942,69679.724770546,141434.032954454,292054.801045418
10,KAFFRINE,2017,120595.848335625,158200.360671583,31330.3479565054,88600.6218639337,150569.219064284
11,KAFFRINE,2018,182561.746334076,388450.199241638,43578.2505645752,120584.312797546,213285.668010712
12,KAFFRINE,2020,303585.471071959,472599.223712683,53686.2678968906,123420.57688117,333869.014815807
13,KAOLACK,2017,85917.7102943171,122729.755600634,18569.8804215144,104139.390832591,92517.0061033501
14,KAOLACK,2018,150763.373394012,347837.044021606,33820.8710632324,190263.199241638,217339.377185822
15,KAOLACK,2020,246078.328887701,793636.561051846,49619.9172427654,204470.120370388,369684.60449338
16,KEDOUGOU,2017,19003.9912416852,49014.2081116039,1315.70151515151,42068.9009238729,10039.9765890614
17,KEDOUGOU,2018,12570.671792984,24706.6893043518,,30345.686416626,15245.2250041962
18,KEDOUGOU,2020,40670.7632004023,67062.9458801746,,76631.8584640026,40691.5153542757
19,KOLDA,2017,178322.318252494,267663.048792196,46833.3313325639,407982.980377428,192789.635961708
20,KOLDA,2018,199970.981628418,335366.040206909,44328.6981124878,376943.928749084,202314.594161987
21,KOLDA,2020,214989.743780613,745483.683665991,58676.929066658,415107.1813519,257578.120433807
22,LOUGA,2017,726976.263633352,366931.921300617,61747.4921757694,465470.101357273,435903.555683768
23,LOUGA,2018,962014.057151794,369025.345100403,74202.1567230225,368575.901306152,475581.639717102
24,LOUGA,2020,1834333.90397549,313162.73258543,158455.714294434,546824.004892826,817020.51522541
25,MATAM,2017,251019.982592441,44005.2653289717,13045.0826566972,114003.674396869,132905.528136379
26,MATAM,2018,313350.701972961,41063.7824668884,11279.0540390015,196451.668094635,206890.584857941
27,MATAM,2020,1350161.06303024,152526.243783951,65087.7560501099,290325.575187683,770953.194274902
28,SAINT-LOUIS,2017,155993.835551206,16339.4276448184,9141.60197341942,61730.0296224744,109215.708355046
29,SAINT-LOUIS,2018,139216.997409821,18454.122795105,4627.529296875,81155.528553009,101858.459312439
30,SAINT-LOUIS,2020,553872.213790894,332429.616947174,5184.14422225952,302078.906242371,319159.26530838
31,SEDHIOU,2017,30417.290505676,162396.600160532,9358.08081068686,57908.6360222452,43913.2515766541
32,SEDHIOU,2018,60957.9621276855,249366.949127197,13708.4181900024,82080.843963623,88420.6460266113
33,SEDHIOU,2020,94956.1688842773,444722.544784546,20152.8155212402,202928.203411102,142337.963417053
34,TAMBACOUNDA,2017,320594.834259259,273451.797319688,32315.7420077973,190618.818957115,288798.611890838
35,TAMBACOUNDA,2018,315531.391624451,211796.633842468,38813.7346038818,190524.724655151,272721.478439331
36,TAMBACOUNDA,2020,373520.854509354,194880.827241898,48339.4859426022,470565.190428376,411041.528285384
37,THIES,2017,126937.425697549,280671.687579384,24903.293605131,93983.654357246,68022.0574042231
38,THIES,2018,248118.760612488,456134.894729614,28035.3149185181,183666.074394226,122605.993400574
39,THIES,2020,475625.904434204,1510687.4508667,49436.121383667,215270,288431.364151001
40,ZIGUINCHOR,2017,21113.4516750646,150181.006034457,,29296.8673867785,63970.3274155428
41,ZIGUINCHOR,2018,16525.2449092865,199549.820047379,,48729.3473491669,44122.2755832672
42,ZIGUINCHOR,2020,69959.4978187084,726266.7212255,,64544.3094980717,143983.128310204
